2019-10-19 20:11:21 - root - spider: Comment count: 10
2019-10-19 20:11:22 - root - spider: Comment count: 10
2019-10-19 20:11:22 - root - spider: Comment count: 10
2019-10-19 20:11:23 - root - spider: Comment count: 10
2019-10-19 20:11:23 - root - spider: Comment count: 10
2019-10-19 20:11:24 - root - spider: Comment count: 10
2019-10-19 20:11:24 - root - spider: Comment count: 10
2019-10-19 20:11:25 - root - spider: Comment count: 10
2019-10-19 20:11:25 - root - spider: Comment count: 10
2019-10-19 20:11:26 - root - spider: Comment count: 10
2019-10-19 20:11:26 - root - spider: Comment count: 10
2019-10-19 20:11:27 - root - spider: Comment count: 10
2019-10-19 20:11:27 - root - spider: Comment count: 10
2019-10-19 20:11:28 - root - spider: Comment count: 10
2019-10-19 20:11:28 - root - spider: Comment count: 10
2019-10-19 20:11:29 - root - spider: Comment count: 10
2019-10-19 20:11:29 - root - spider: Comment count: 10
2019-10-19 20:11:29 - root - spider: Comment count: 10
2019-10-19 20:11:30 - root - spider: Comment count: 10
2019-10-19 20:11:30 - root - spider: Comment count: 10
2019-10-19 20:11:31 - root - spider: Comment count: 10
2019-10-19 20:11:31 - root - spider: Comment count: 10
2019-10-19 20:11:32 - root - spider: Comment count: 10
2019-10-19 20:11:32 - root - spider: Comment count: 10
2019-10-19 20:11:33 - root - spider: Comment count: 10
2019-10-19 20:11:33 - root - spider: Comment count: 10
2019-10-19 20:11:34 - root - spider: Comment count: 10
2019-10-19 20:11:34 - root - spider: Comment count: 10
2019-10-19 20:11:35 - root - spider: Comment count: 10
2019-10-19 20:11:35 - root - spider: Comment count: 10
2019-10-19 20:11:36 - root - spider: Comment count: 10
2019-10-19 20:11:37 - root - spider: Comment count: 10
2019-10-19 20:11:37 - root - spider: Comment count: 10
2019-10-19 20:11:38 - root - spider: Comment count: 10
2019-10-19 20:11:39 - root - spider: Comment count: 10
2019-10-19 20:11:39 - root - spider: Comment count: 10
2019-10-19 20:11:40 - root - spider: Comment count: 10
2019-10-19 20:11:40 - root - spider: Comment count: 10
2019-10-19 20:11:41 - root - spider: Comment count: 10
2019-10-19 20:11:41 - root - spider: Comment count: 10
2019-10-19 20:11:42 - root - spider: Comment count: 10
2019-10-19 20:11:43 - root - spider: Comment count: 10
2019-10-19 20:11:43 - root - spider: Comment count: 10
2019-10-19 20:11:43 - root - spider: Comment count: 10
2019-10-19 20:11:44 - root - spider: Comment count: 10
2019-10-19 20:11:46 - root - spider: Comment count: 10
2019-10-19 20:11:46 - root - spider: Comment count: 10
2019-10-19 20:11:46 - root - spider: Comment count: 10
2019-10-19 20:11:47 - root - spider: Comment count: 10
2019-10-19 20:11:48 - root - spider: Comment count: 10
